mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_early_stopping_rounds,param_learning_rate,param_max_bin,param_n_estimators,param_num_leaves,param_num_threads,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.736388063430786,0.1573736444070342,0.0039061546325683595,0.00070798610592835,gbdt,0,0.1,255,400,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 31, 'num_threads': 4}",0.5506151174710359,0.6293558876932099,0.703970949845035,0.6172600948728726,0.4354664044903568,0.587333690874502,0.09019715202640582,1
2.8241947174072264,0.06466104192240008,0.0055293083190917965,0.001570989749385842,gbdt,0,0.1,255,400,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 50, 'num_threads': 4}",0.5506151174710359,0.6293558876932099,0.703970949845035,0.6172600948728726,0.4354664044903568,0.587333690874502,0.09019715202640582,1
4.313567972183227,0.11234620823277308,0.004411649703979492,0.0013041588366251345,gbdt,0,0.1,255,600,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 31, 'num_threads': 4}",0.5260266584346053,0.628992889947332,0.7019654585905839,0.6124272023714663,0.4351577977934159,0.5809140014274807,0.09188646032466746,3
4.451575756072998,0.10762170711834505,0.004409408569335938,0.000888913412616286,gbdt,0,0.1,255,600,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 50, 'num_threads': 4}",0.5260266584346053,0.628992889947332,0.7019654585905839,0.6124272023714663,0.4351577977934159,0.5809140014274807,0.09188646032466746,3
5.852933883666992,0.31128261105807264,0.006695556640625,0.000722157343468868,gbdt,0,0.1,255,800,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 31, 'num_threads': 4}",0.5107654874840651,0.6252606868994386,0.7006160778778305,0.6104469904800722,0.4348820262018843,0.5763942537886582,0.09307139653451021,5
6.212692213058472,0.16876073574685682,0.005008411407470703,0.0010829758416069158,gbdt,0,0.1,255,800,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 50, 'num_threads': 4}",0.5107654874840651,0.6252606868994386,0.7006160778778305,0.6104469904800722,0.4348820262018843,0.5763942537886582,0.09307139653451021,5
3.1072186470031737,0.2085836370681528,0.003368663787841797,0.0019741360194437127,gbdt,0,0.2,255,400,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 31, 'num_threads': 4}",0.48191849223407146,0.6344061504362584,0.6928709879956232,0.6231422483549762,0.40888978401429177,0.5682455326070442,0.10561154614091837,7
3.2118607997894286,0.0768811546244284,0.004432106018066406,0.0030679355045147017,gbdt,0,0.2,255,400,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 50, 'num_threads': 4}",0.48191849223407146,0.6344061504362584,0.6928709879956232,0.6231422483549762,0.40888978401429177,0.5682455326070442,0.10561154614091837,7
4.653010559082031,0.09939478509312084,0.0038548946380615235,0.0014325210491001256,gbdt,0,0.2,255,600,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 31, 'num_threads': 4}",0.4695038530860062,0.6250260858297645,0.6889350506332282,0.6176456759926758,0.40591696581910774,0.5614055262721565,0.10592159325552665,9
4.549883031845093,0.1161176579711372,0.004332828521728516,0.0020698474257934496,gbdt,0,0.2,255,600,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 50, 'num_threads': 4}",0.4695038530860062,0.6250260858297645,0.6889350506332282,0.6176456759926758,0.40591696581910774,0.5614055262721565,0.10592159325552665,9
6.054371929168701,0.13931142667088214,0.005301761627197266,0.00033458462272679794,gbdt,0,0.2,255,800,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 31, 'num_threads': 4}",0.4612145933010633,0.6195781153727055,0.6858095751356815,0.6144323117931318,0.40666669054599414,0.5575402572297152,0.10543233497048354,11
6.191174745559692,0.1409098264424382,0.005185270309448242,0.0022123388179676948,gbdt,0,0.2,255,800,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 50, 'num_threads': 4}",0.4612145933010633,0.6195781153727055,0.6858095751356815,0.6144323117931318,0.40666669054599414,0.5575402572297152,0.10543233497048354,11
3.0461066722869874,0.049948647505801545,0.0025113582611083984,0.002077848048492304,gbdt,0,0.4,255,400,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.4, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 31, 'num_threads': 4}",0.49637472747923594,0.6086004096531159,0.6676941229313414,0.6251549878623132,0.3799808246847197,0.5555610145221452,0.10446219622419568,13
3.0555251121520994,0.0901374981702658,0.0046025276184082035,0.0006793337953460376,gbdt,0,0.4,255,400,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.4, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 50, 'num_threads': 4}",0.49637472747923594,0.6086004096531159,0.6676941229313414,0.6251549878623132,0.3799808246847197,0.5555610145221452,0.10446219622419568,13
4.453898620605469,0.31885448118127685,0.0046428203582763675,0.0019147843831968621,gbdt,0,0.4,255,600,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.4, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 31, 'num_threads': 4}",0.4901964009487553,0.6029722573497769,0.666796207939168,0.6211636933883082,0.38081418973427017,0.5523885498720557,0.10361801821754998,15
4.499989032745361,0.14937399034663498,0.004355382919311523,0.0003877932945085347,gbdt,0,0.4,255,600,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.4, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 50, 'num_threads': 4}",0.4901964009487553,0.6029722573497769,0.666796207939168,0.6211636933883082,0.38081418973427017,0.5523885498720557,0.10361801821754998,15
5.005469799041748,0.09125462154306788,0.0032772064208984376,0.002322453442573692,gbdt,0,0.4,255,800,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.4, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 31, 'num_threads': 4}",0.48846909170045527,0.6007753058569646,0.6662519951147498,0.6194835077090545,0.38043136970781577,0.551082254017808,0.1033966465443841,17
3.665068244934082,0.6441190630103071,0.004476499557495117,0.0013529292076610128,gbdt,0,0.4,255,800,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.4, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 50, 'num_threads': 4}",0.48846909170045527,0.6007753058569646,0.6662519951147498,0.6194835077090545,0.38043136970781577,0.551082254017808,0.1033966465443841,17
